"Transcript.stable.ID","Strand","GENE_SYMBOL","GENE_NAME","CYTOBAND"
"ENST00000000412","-","M6PR","mannose-6-phosphate receptor (cation dependent)","hs|12p13.31"
"ENST00000000412","-","M6PR","mannose-6-phosphate receptor (cation dependent)","hs|12p13.31"
"ENST00000001008","+","FKBP4","FK506 binding protein 4, 59kDa","hs|12p13.33"
"ENST00000001146","-","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1","hs|2p13.2"
"ENST00000001146","-","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1","hs|2p13.2"
"ENST00000002165","-","FUCA2","fucosidase, alpha-L- 2, plasma","hs|6q24.2"
"ENST00000003084","+","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","hs|7q31.2"
"ENST00000003912","+","NIPAL3","NIPA-like domain containing 3","hs|1p36.11"
"ENST00000005226","-","USH1C","Usher syndrome 1C (autosomal recessive, severe)","hs|11p15.1"
"ENST00000005257","+","RALA","v-ral simian leukemia viral oncogene homolog A (ras related)","hs|7p14.1"
"ENST00000005284","+","CACNG3","calcium channel, voltage-dependent, gamma subunit 3","hs|16p12.1"
"ENST00000005340","-","DVL2","dishevelled, dsh homolog 2 (Drosophila)","hs|17p13.1"
"ENST00000005756","+","UPP2","uridine phosphorylase 2","hs|2q24.1"
"ENST00000006015","-","HOXA11","homeobox A11","hs|7p15.2"
"ENST00000006053","+","CX3CL1","chemokine (C-X3-C motif) ligand 1","hs|16q21"
"ENST00000006053","+","CX3CL1","chemokine (C-X3-C motif) ligand 1","hs|16q21"
"ENST00000006053","+","CX3CL1","chemokine (C-X3-C motif) ligand 1","hs|16q21"
"ENST00000006275","-","TRAPPC6A","trafficking protein particle complex 6A","hs|19q13.32"
"ENST00000006724","-","CEACAM7","carcinoembryonic antigen-related cell adhesion molecule 7","hs|19q13.2"
"ENST00000006724","-","CEACAM7","carcinoembryonic antigen-related cell adhesion molecule 7","hs|19q13.2"
"ENST00000007264","-","RPUSD1","RNA pseudouridylate synthase domain containing 1","hs|16p13.3"
"ENST00000007390","-","C16orf42","chromosome 16 open reading frame 42","hs|16p13.3"
"ENST00000007510","+","ARHGAP33","Rho GTPase activating protein 33","hs|19q13.12"
"ENST00000007510","+","ARHGAP33","Rho GTPase activating protein 33","hs|19q13.12"
"ENST00000007699","-","YBX2","Y box binding protein 2","hs|17p13.1"
"ENST00000007735","-","KRT33A","keratin 33A","hs|17q21.2"
"ENST00000008391","+","TFAP2D","transcription factor AP-2 delta (activating enhancer binding protein 2 delta)","hs|6p12.3"
"ENST00000008938","-","PGLYRP1","peptidoglycan recognition protein 1","hs|19q13.32"
"ENST00000009105","+","CAMK1G","calcium/calmodulin-dependent protein kinase IG","hs|1q32.2"
"ENST00000009105","+","CAMK1G","calcium/calmodulin-dependent protein kinase IG","hs|1q32.2"
"ENST00000011292","+","CPA1","carboxypeptidase A1 (pancreatic)","hs|7q32.2"
"ENST00000011473","-","SYPL1","synaptophysin-like 1","hs|7q22.3"
"ENST00000011619","-","RANBP9","RAN binding protein 9","hs|6p23"
"ENST00000011619","-","RANBP9","RAN binding protein 9","hs|6p23"
"ENST00000011691","+","SS18L2","synovial sarcoma translocation gene on chromosome 18-like 2","hs|3p22.1"
"ENST00000011898","+","TSPAN9","tetraspanin 9","hs|12p13.32"
"ENST00000011898","+","TSPAN9","tetraspanin 9","hs|12p13.32"
"ENST00000011989","-","CYP4F2","cytochrome P450, family 4, subfamily F, polypeptide 2","hs|19p13.12"
"ENST00000012049","+","QPCTL","glutaminyl-peptide cyclotransferase-like","hs|19q13.32"
"ENST00000012134","-","HIVEP2","human immunodeficiency virus type I enhancer binding protein 2","hs|6q24.2"
"ENST00000013034","+","NME1","non-metastatic cells 1, protein (NM23A) expressed in","hs|17q21.33"
"ENST00000013125","-","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5","hs|14q22.1"
"ENST00000013125","-","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5","hs|14q21.3"
"ENST00000013807","-","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)","hs|19q13.32"
"ENST00000014914","+","GPRC5A","G protein-coupled receptor, family C, group 5, member A","hs|12p13.1"
"ENST00000014930","-","HEBP1","heme binding protein 1","hs|12p13.1"
"ENST00000016171","-","COX15","COX15 homolog, cytochrome c oxidase assembly protein (yeast)","hs|10q24.2"
"ENST00000016913","+","MS4A12","membrane-spanning 4-domains, subfamily A, member 12","hs|11q12.2"
"ENST00000017003","+","XYLT2","xylosyltransferase II","hs|17q21.33"
"ENST00000020926","-","SYT13","synaptotagmin XIII","hs|11p11.2"
"ENST00000023064","-","SLC7A9","solute carrier family 7 (glycoprotein-associated amino acid transporter light chain, bo,+ system), member 9","hs|19q13.11"
"ENST00000025301","+","AKAP11","A kinase (PRKA) anchor protein 11","hs|13q14.11"
"ENST00000025399","+","STRAP","serine/threonine kinase receptor associated protein","hs|12p12.3"
"ENST00000027335","-","CDH17","cadherin 17, LI cadherin (liver-intestine)","hs|8q22.1"
"ENST00000033079","-","FAM13B","family with sequence similarity 13, member B","hs|5q31.2"
"ENST00000035307","+","CHPF2","chondroitin polymerizing factor 2","hs|7q36.1"
"ENST00000037243","+","GABARAPL2","GABA(A) receptor-associated protein-like 2","hs|16q23.1"
"ENST00000037243","+","GABARAPL2","GABA(A) receptor-associated protein-like 2","hs|16q23.1"
"ENST00000039007","+","OTC","ornithine carbamoyltransferase","hs|Xp11.4"
"ENST00000040584","+","HOXC8","homeobox C8","hs|12q13.13"
"ENST00000040663","+","MRI1","methylthioribose-1-phosphate isomerase homolog (S. cerevisiae)","hs|19p13.2"
"ENST00000040738","-","BOD1L","biorientation of chromosomes in cell division 1-like","hs|4p15.33"
"ENST00000040738","-","BOD1L","biorientation of chromosomes in cell division 1-like","hs|4p15.33"
"ENST00000040738","-","BOD1L","biorientation of chromosomes in cell division 1-like","hs|4p15.33"
"ENST00000043402","-","RTN4R","reticulon 4 receptor","hs|22q11.21"
"ENST00000046087","-","ZPBP","zona pellucida binding protein","hs|7p12.2"
"ENST00000046640","+","CTNS","cystinosin, lysosomal cystine transporter","hs|17p13.2"
"ENST00000053468","-","MRPS10","mitochondrial ribosomal protein S10","hs|6p21.1"
"ENST00000053468","-","MRPS10","mitochondrial ribosomal protein S10","hs|6p21.1"
